TRDAR_NM,culture_store_count
시흥동 은행나무사거리,3
노원 을지대학교병원,1
동일여자고등학교,2
시흥3동 우편취급국,1
송파나루역 3번,2
중화역 1번,3
역삼월드메르디앙아파트,5
돌곶이역 3번,2
KB국민은행 중화동지점,4
영서중학교,2
서울시인재개발원,3
한국상담대학원대학교,3
남부초등학교,3
신한은행 방학동지점,2
국민은행방학지점,2
왕십리파출소,3
선유도역 6번,1
강동성심병원,4
목4동주민센터,1
우사단길,3
금천파출소,2
방이역 2번,1
신촌역 6번,3
청구역 1번,1
강남세브란스병원미래의학연구센터,5
방배배수지체육공원,1
베르사이유1아파트,5
한국교통안전공단 강남자동차검사소,1
난우초등학교,2
난곡중학교,3
개포지하차도 북측,1
가산동주민센터,2
가산디지털단지역 1번 출입구,2
바우뫼공원,2
윗방죽마을공원,1
언남고등학교,2
이태원엔틱가구거리,3
오산중학교,3
상봉역 3번,2
신내역 2번,1
금호사거리,1
대흥역 3번,3
석촌역 7번,3
서울독일학교,1
화곡보람2차아파트,1
둔촌푸르지오아파트,2
돌곶이역 8번,2
당산역 8번,1
언주역 8번,2
삼전역 4번,1
홍익대,2
세종대학교,2
상왕십리역 6번,2
미근동,1
홍남교남측,2
황학동벼룩시장,2
마장역 2번,1
천일초등학교,2
보문역 5번,1
연가초등학교,1
중곡1동 마을마당,2
신묵초등학교,2
문정역 1번,1
서초중학교,1
내방역 5번,3
대동초등학교,2
조원동주민센터,3
KT구로지사,3
방배역 3번,3
중랑노인종합복지관,2
한전아트센터,3
마포경찰서,1
신원동주민센터,4
보라매역 4번,2
도곡초등학교,1
마천공원,1
벌말어린이공원,1
대림역 11번,2
고척초등학교,0
방배아이파크아파트,1
구로119안전센터,0
삼성중앙역 7번,0
한남IC,0
문정역 2번,1
목동역 5번,1
서울공연예술고등학교,0
양평역 2번,0
미림여고,0
난우중학교,1
KT&G 북부지사,0
신성초등학교,0
금천구립가산도서관,1
신중초등학교,1
송파역 2번,2
군자초등학교,0
양천향교역 7번,0
송정역 4번,0
서울대병원,0
청계산원터골,0
광진경찰서,0
방배역 1번,2
영등포시장역 3번,0
잠실나루역,0
논현역 7번,0
삼성중앙역 5번,0
당산반도유보라팰리스아파트,1
한림대학교한강성심병원,0
신월1동우편취급국,0
천왕역 3번(오류2동주민센터 서울오류남초등학교),0
강서고등학교,1
마포구청역 1번,0
구산역 4번,0
연천초등학교,0
서문여고,2
양화초등학교,0
독산동정훈단지,0
대림1동주민센터,2
도림초등학교,0
연희어린이공원,2
서대문우체국,2
상도1동주민센터앞,0
우리은행응암동지점,0
동구여중,0
간데메공원,1
인수중학교,0
청운초등학교,0
제기동역 1번,1
장안교,1
백련산해모로아파트,0
봉천역 1번(관악초등학교),1
서울과학기술대,1
도봉구민회관,1
아카데미하우스,0
동대문구청,1
도봉우체국,0
외대앞역 2번,0
월드순복음교회,3
석계역 2번,1
신내역 1번,0
신금호역 4번,1
고려대역 4번,0
수유역 2번,0
은광여고,3
선사초등학교,0
당산역 13번,2
열정도,0
한양대역 4번,0
청담역 12번,0
KT대방빌딩,2
옥수동우편취급국,1
리움미술관,2
신길새마을금고신길4동지점,1
우장산롯데캐슬아파트앞,1
아현역 1번,1
종로5가역 4번,0
충무초등학교,0
홍대입구역 3번,3
헌인가구단지,0
배꽃어린이공원,3
내방역 6번,2
신림역 1번,3
대림갑을명가아파트,1
신풍역 3번,1
Sh수협은행 오금동금융센터(아랫말어린이공원),2
고산초등학교,0
KB국민은행 서강지점,1
서울프랑스학교,0
신풍역 2번,1
이수역 9번,1
무너미어린이공원,0
홍제성원아파트,0
동대문경찰서,0
언주역 6번,3
하나은행 망우동지점,0
솔숲어린이공원,0
구세군강북종합사회복지관,1
덕성여대시반거리,0
한일병원,0
국립재활원,0
창동중학교,0
KB국민은행 종암동지점,0
염창무학아파트,0
신자초등학교,0
삼각지역 3번,0
자양한강도서관,0
성동초등학교,0
둔촌2동주민센터,2
강동구립성내도서관,2
광진정말공원,0
성내중학교,2
영등포시장역 1번,0
뚝섬유원지역 1번,0
NH농협은행 보광동지점,3
어린이대공원역 4번,1
새남터성지,0
관성묘,1
오산고등학교,3
영등포구청역 6번,0
언북초등학교,0
광진구청,0
망우역 2번,2
신월7동주민센터,0
청담근린공원,0
문래중학교,0
성원어린이공원,1
중랑역 4번,2
동대문역사문화공원역 5번,1
쌍문2동우체국,2
고척중학교,0
국악고교사거리,2
번동주공2단지,0
논현로18길,2
중앙보훈병원,1
신목동역,0
서울숲역 1번,1
절두산순교성지,0
광진정보도서관,0
용강동주민센터,2
화곡역 2번,1
어린이대공원역 3번,1
염리초등학교,2
자양4동주민센터,0
천동초등학교,3
옥수역 6번,2
구반포역,0
거여역 8번,1
구로세무서,0
문래역 3번,0
신구중학교,0
도산공원북측,0
용산세무서,0
신월4동주민센터,0
신월시영아파트중문,0
강서구다솔마을,0
신월문화체육센터,0
가산동우체국,2
문래동남성맨션,0
신대림초등학교,1
신대방역 3번,3
가좌역 2번,0
개미어린이공원,0
새절역 2번,0
역촌역 2번,0
흑리단길,0
정릉3동주민센터,0
안암역 2번,1
증산3교남측,0
명지전문대,1
용두사거리,1
한국의류시험연구원,2
중화역 4번,3
태릉입구역 4번,0
연산군묘,1
먹골파출소,1
성수2가3동주민센터,1
장안초등학교,1
굽은다리역 3번,0
신정역 5번,0
용산구청,2
신월중학교,0
건대입구역 1번,0
옥수터널,1
굽은다리역 4번,2
신광명마을,0
한남힐사이드아파트,1
성수1가1동주민센터,1
한남초등학교,2
상수역 4번,1
면목역 2번,1
구의1동주민센터,0
경수초등학교,0
경춘선숲길 우측,0
성수동카페거리,1
경의선책거리,2
홍대땡땡거리,2
망원역 1번,2
청구역 3번,1
이대역 5번,2
우장산힐스테이트,0
아차산역 5번,1
방이역 1번,1
등촌역 1번,1
덕의초등학교,0
석촌역 3번,3
서울지방병무청,2
장승배기역 4번,0
동의초등학교,0
갈산공원,1
대현산장미원,1
석촌고분역 1번,2
다산성곽길,1
삼전역 1번,1
역삼역 8번,5
홍익지구대,2
대흥동주민센터,1
약수역 7번,0
우장산역 1번,1
대원고등학교,0
양원초등학교,3
강서새말어린이공원,1
금북초등학교,2
아차산역 1번,0
망원나들목체육관,1
홍대부속여중고앞,1
천호초등학교,1
한양공고앞 교차로,2
목동문화체육센터,0
길동신동아아파트,1
옥정중학교,1
성산중학교,0
동대부여고,0
구의역 4번,0
GS강동자이아파트,1
성수119안전센터,0
석촌고분역 4번,2
송파책박물관,2
숙대입구역 1번,0
상수역 3번,1
서울숲카페거리,1
광흥창역 6번,1
광나루역 1번,0
자동차부품상가,0
천호역 6번,2
남정초등학교,0
마포역 4번,1
구남초등학교,0
한강진역 3번,3
삼각지역 14번,0
창신1동주민센터,2
사당5동주민센터,0
신월1파출소,0
천호태영아파트,3
건대입구역 6번,0
가양역 10번,1
흑석2치안센터,0
석촌역 6번,3
망우3동주민센터,1
중암중학교,0
이태원역 북측,2
방이동고분군(방산고등학교),3
대림썬프라자,2
유엔빌리지길,1
성심여자고등학교,0
신월3동주민센터,0
해오름공원,0
중구회현체육센터(정화예술대남산캠퍼스),0
석촌고분역 3번,2
왕십리역 9번,1
강동구립 천호도서관,2
서울교통공사,0
가리봉파출소,4
청룡동주민센터,0
상계제일중학교,0
개봉3동주민센터,0
거여초등학교,1
봉천역 6번,1
신대방역 1번,2
싸리고개근린공원,5
매봉역 1번,2
연희초등학교,1
국립정신건강센터,1
서연중학교,2
천호1동주민센터,2
중곡역 3번,1
등촌3동주민센터,1
마포FM,2
중곡1동주민센터,2
강서구청가양동별관,1
장평중학교,1
양천향교역 2번,0
수족관거리,2
가좌역 3번,0
촬영소사거리,0
중곡4동주민센터,0
동대문중앙새마을금고본점,0
청와대사랑채,0
종암초등학교,2
사가정역 1번,1
개봉초등학교,0
내방역 8번,2
사당종합체육관,0
문정초등학교,1
충정로역 6번,1
강일동주민센터,1
방이역 4번,2
발산역 5번,0
회현역 1번,0
동교초등학교,1
대신고등학교,0
군자역 4번,2
남산케이블카,0
경의중앙 신촌역,1
능동우편취급국,2
방화역 2번,0
용두초등학교,2
상왕십리역 3번,2
황학코아루아파트,4
당고개역 2번,0
연희세브란스병원,0
경기대학교,1
중곡어린이공원,1
마포구청역 4번,1
G타워,5
충정로현대아파트,1
마장지하차도,3
장안1동주민센터,0
답십리사거리,0
경향신문사,1
돈의문센트레빌아파트입구,1
중곡3동주민센터,1
태릉시장 특화거리,2
남가좌동현대아파트,3
충신시장옆,0
개화산역 1번,0
동묘앞역 3번,2
동대문역 3번,1
공항고등학교,0
서대문소방서,0
당고개역 5번,0
답십리 장령당공원,1
서대문구청,0
송정역 2번,0
암사역 1번,0
방화초등학교,0
구로나눔길,1
양천향교역 5번,0
봉원사,0
문정동성당,1
돌곶이역 1번,2
오류동역 4번,0
서초소방서,0
신서초등학교,0
개포고등학교,1
개웅초등학교(개웅중학교),0
고덕동성당,0
이촌동점보아파트,0
강남구청역 4번,0
청담역 3번,0
논현2동주민센터,0
영등포본동주민센터,0
학동초등학교,0
전곡마을마당공원,0
언주중학교,0
전농중학교,0
경희대삼거리,0
신대방삼거리역 1번,1
동작구자원봉사센터,0
오류동역 3번,0
관악구신사동주민센터,5
오류2동버들시장,0
신정2동주민센터,0
영등포시장역 4번,0
서빙고동주민센터,1
서울시립영등포장애인복지관,0
신정네거리역 2번,0
문래소공원,0
국기원,2
봉은사역 4번,0
양목초등학교,1
강남구청역 2번,0
한강미주맨션아파트,0
금빛새마을금고본점,0
신정네거리역 4번,0
텃골근린공원,0
신곡초등학교,0
푸른들청소년도서관,1
화곡역 5번,1
신월1동주민센터,0
서서울호수공원,0
면목2동체육관,3
강남구보훈회관,0
개봉1동주민센터,0
대청초등학교,0
상도역 1번,0
논현목련공원,2
시조사삼거리,0
둔촌동역 4번,2
삼육보건대학교,0
면동초등학교,2
상도역 2번,0
신길대성유니드아파트,0
대치동아우편취급국,1
푸른동산공원,0
서빙고역 1번,1
그라운드 고척,0
큰굴다리,0
상도4동주민센터,0
삼전역 3번,2
용마초등학교,1
군자역 5번,2
경찰병원역 3번,1
보인중학교,1
신대방삼거리역 3번,2
대림역 2번,2
수궁동주민센터,0
구로보건소,1
개봉중학교,0
신우어린이공원,0
신길역 1번,0
목동센트럴아이파크앞,0
도림2동유수지내체육시설,0
숭실대입구역 4번,0
개봉역,0
투구봉어린이공원,0
송파나루역 2번,2
서래초등학교,1
구로4동주민센터,1
지향초등학교,0
문래동사거리,0
신사은행나무공원,0
온수역 8번,0
등촌역 4번,0
방배동사이길,1
사근동살곶이상점가,1
미성초등학교,4
노량진역 6번,0
언주역 3번,2
장훈고등학교,0
KC대학교,1
한성백제역 3번,1
화곡초등학교,1
백석중학교,1
까치산역 4번,0
뜸부기어린이공원,1
우장산역 4번,0
선유도역 1번,1
화곡역 4번,1
메디힐병원,0
강서구청옆,1
시립대앞사거리,0
곰달래도서관,0
화원어린이공원,1
화곡2동주민센터,0
신한은행 신월동지점,0
까치산역 1번,0
목동보건지소,1
고척동성당,0
마포구청역 7번,1
한국폴리텍대학서울정수캠퍼스,3
목동로데오거리,1
까치산역 3번,0
영동대교남단,0
오금역 4번,1
신정역 1번,0
영등포구청역 2번,0
난향초등학교,0
금강수목원아파트,0
답십리초등학교,0
청담초등학교,0
대방역 6번,0
신림초등학교,4
금천해태공원,1
미성동주민센터,3
백산초등학교,4
석수역 1번 출입구,1
독산2동주민센터,0
남천초등학교,1
연신내역 7번,0
내를건너서숲으로도서관,0
장충초등학교,1
장충단 고개,1
신방화역 8번,0
금호삼성래미안아파트,1
오류고등학교,0
서울금융고등학교,0
온수역 1번,0
오류지구대,0
계남근린공원,0
공항시장역 3번,0
송정역 3번,0
신방화역 2번,0
공항시장역 1번,0
신월2동주민센터,0
신정롯데캐슬아파트,0
샤로수길,1
영동초등학교,1
화원중학교,1
성서초등학교,2
KB국민은행 망원동지점,2
영등포동성당,0
신길역 3번,0
성북초등학교앞,0
영등포역 2번,0
영등포푸르지오아파트,0
선일여고,0
화곡4동주민센터,1
세곡초등학교,0
오류동역 1번,0
망리단길,2
구로구민회관,0
한국SGI본부,0
금천어울림복지센터,1
독산역 1번 출입구,0
금천구청역 1번 출입구,1
말미고개,0
신대방역 4번,2
북가좌2동주민센터,1
모래내우체국,1
새터산,1
성미산체육관,1
숭실대입구역 1번,0
상도역 5번,0
연희파출소,2
관악구 중앙길,1
관악우성아파트,1
서울대입구역 8번,1
연신내우체국,0
내방역 4번,3
연신내역 5번,0
역촌노인복지관,0
구산보건지소,0
성수초등학교,0
남구로역 2번,3
달마을공원,0
구로초등학교,0
신길동홍어거리,0
남구로역 3번,2
남구로역 5번,2
두산초등학교,0
등촌1동주민센터,1
등촌역 7번,1
응암3동주민센터,0
한울중학교,0
대림역 5번,2
독산동성당,1
수색성당,0
독산119안전센터,0
금천세무서,4
문성초등학교,2
혜회동주민센터,0
도신초등학교,1
도림동주민센터,0
양화대교북단,1
합정역 8번,2
신길2동우편취급국,0
면목역 3번,2
신길3동주민센터,0
신풍역 1번,1
신길6동주민센터,2
대림한신아파트,1
서울시립대,0
대림성모병원,2
신대방역 2번,4
혜원여고,1
경복고등학교,0
구로디지털단지역 4번,4
신림우방아파트,2
응암역 3번,0
응암역 2번,0
상신초등학교입구,0
시립서북병원,0
신사1동주민센터,0
구암초등학교,1
연희임광아파트,2
새절역 3번,0
성원중학교,1
연희지하차도,1
서대문구보건소별관,0
영천시장입구,1
충정로역 3번,1
성곡미술관,0
평창동동측,0
세검정,0
증산역 4번,1
답십리역 6번,1
사가정역 4번,0
대광초등학교,2
중앙고등학교,0
면목동우체국,0
성균관대학교,0
면목5동주민센터,1
보문역 8번,1
응암동우체국,0
증산역 3번,0
증산역 1번,1
공군호텔,0
성남고등학교,2
대방역 4번,0
대방역 3번,0
경성고등학교,2
연희대우아파트앞,2
응암정보도서관,1
명지대학교교회,2
역촌역 3번,0
녹번동근린공원,0
구산역 1번,0
연신내역 4번,0
아현역 4번,1
신수동주민센터,2
연신내역 3번,0
서강대역 1번,3
장승배기역 5번,0
예술인마을,0
영락고등학교,0
노량진초등학교,0
상도초등학교,0
NH농협은행 상도동지점,1
신림역 8번,3
애오개역 3번,1
만리재,1
당곡중학교,2
신림현대아파트,1
체부동홍종문가옥,0
보라매역 2번,2
관악해태어린이공원,0
보라매역 6번,2
영신초등학교,0
서울여자간호대학교,0
이북5도청사,0
공덕동주민센터,1
남영역 1번,0
서울서부지방법원,1
한겨레신문사,1
중앙대학교,0
효창공원앞역 6번,0
충정로역 7번,1
숙대입구,0
남성역 1번,0
양지어린이공원,1
인수초등학교,0
사당역 4번,0
사당역 10번,1
효창공원앞역 2번,0
메가박스 상봉,2
장스여성병원,0
석관중앙교회,2
덕산중학교,0
망우역 1번,1
은평구청,0
돌곶이역 5번,2
혜화역 1번,0
안암역 3번,1
정독도서관,0
수색역 1번,0
떡전교사거리,0
장안제일시장,1
홍제역 4번,0
화양사거리,1
회기역 1번,0
부암동주민센터,0
예일여고,0
서일대학교,0
세종대왕기념관교차로,0
회기역 2번,0
청량초등학교,0
한성대입구역 5번,0
중대부중,0
효창공원앞역 5번,0
효창동주민센터,0
용마문화복지센터,1
배문고등학교,0
서울역 15번,0
아현역 2번,2
내방역 1번,3
이수역 5번,3
방배초등학교,3
경리단길북측,0
경리단길남측,1
중곡초등학교,0
창신역 1번,1
해방촌 남동측,0
해방촌예술마을,0
후암동주민센터,0
서울역 12번,0
삼광초등학교,0
이수역 10번,1
정릉역 2번,0
북한산보국문역 2번,0
마장역 3번,1
삼양사거리역 2번,1
정릉북한산국립공원입구,0
국립4.19민주묘지,0
경신고등학교,0
홍대부중,0
성동세무서,1
남산골공원옆,0
마천1치안센터,0
홍릉근린공원,0
홍제역 2번,0
러스크서울병원,0
종암경찰서,0
홍제역 3번,0
면목역 1번,1
정원여중,0
홍릉시장,0
장안근린공원,0
방화역 3번,0
북가좌초등학교,0
전농119안전센터,1
불광역 8번,0
홍연시장,1
동묘앞역 2번,2
국민대학교앞,0
상계5동주민센터,0
창2동주민센터,0
도봉역 3번,0
영신여고,0
상봉역 4번,3
신내IC북측,0
쌍문초등학교,0
문이교,0
먹골역 1번,2
노원역 9번,0
장위동성당,2
월곡역 4번,0
자양동우체국,0
수유1동주민센터,1
송천동주민센터,0
도봉세무서,0
독립문역 1번,0
답십리공원,0
정곡초등학교,0
남가좌파출소,2
이화달팽이길,0
명지대학교,2
창신역 4번,3
오거리공원,0
종암아이파크2차후문,0
동대부고,0
창덕궁,0
상봉역 7번,3
미아사거리역 3번,0
경희대후문,0
미아초등학교,0
KT월곡지사,0
홍지문,0
신진과학기술고등학교,0
신설동역 12번,3
동의보감타워,0
방화역 1번,0
종암동주민센터,0
삼각산119안전센터,0
서울국제고등학교,0
동덕여대,0
구산초등학교,0
대치2동주민센터,1
정릉역 1번,0
불광역 3번,0
장안중학교,3
응암1동주민센터,0
길음역 8번,0
망우본동주민센터,0
석계역 7번,2
석관고등학교,3
상계3동4동주민센터,0
행당역 2번,2
구산역 2번,0
화랑대역 7번,0
대진고등학교,1
화랑대철도공원,0
장석교회,0
평창동서측,0
신내1동주민센터,0
숭곡초등학교,0
솔밭공원역 1번,0
세검정초등학교,0
은평세무서,0
의릉,2
길음역 10번,0
